#Organism Group	Strain	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	Host	AMR genotypes core	BioSample	K-mer group	Scientific name	Assembly	AST phenotypes	Host Disease	Virulence genotypes	Collection Date	Stress genotypes	Collected by	AMRFinderPlus version	PD Ref Gene Catalog version	AMRFinderPlus analysis type	BioProject	Lat/Lon	N50	Contigs	Length	Library Layout	Platform	Run	SRA Center	SRA Release Date	Species TaxID	Outbreak	Level	AMR genotypes	Method	PFGE Primary Enzyme Pattern	PFGE Secondary Enzyme Pattern	TaxID	WGS Prefix	WGS Accession
Salmonella enterica	SAL3385	Enteritidis	PDT000197481.1	2017-03-22T15:45:55Z		chicken	environmental/other				Gallus gallus		SAMN02368142	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Enteritidis	GCA_002066345.1				2005	golS=PARTIAL_END_OF_CONTIG,golT=COMPLETE	FDA	3.8.4	2020-07-16.2	COMBINED	PRJNA203445		7278	1172	4653762						28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SPAdes v. 3.9.0			149539	MYEX	MYEX00000000.1
Salmonella enterica	SAL3369	Enteritidis	PDT000197484.1	2017-03-22T15:47:25Z		chicken	environmental/other				Gallus gallus		SAMN02368131	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Enteritidis	GCA_002066415.1				2006	asr=HMM,golS=COMPLETE,golT=PARTIAL	FDA	3.8.4	2020-07-16.2	COMBINED	PRJNA203445		9258	992	4685068						28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SPAdes v. 3.9.0			149539	MYFC	MYFC00000000.1
Salmonella enterica	SHSN004	Newport	PDT000205400.1	2017-04-25T17:01:33Z	China: Shanghai	liver	environmental/other				chicken		SAMN06677847	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Newport str. SHSN004	GCA_002109045.1			sinH=HMM	2011	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE		3.8.4	2020-06-11.1	COMBINED	PRJNA197512		39692	252	4692998						28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SOAPdenovo v. 1.05			1324338	AROM	AROM00000000.1
Salmonella enterica	STy013	Typhimurium	PDT000235647.1	2017-08-21T13:06:42Z	Brazil	slaughterhouse	environmental/other				poultry	aac(3)-IIe=COMPLETE,aadA1=COMPLETE,blaTEM=COMPLETE,gyrA_S83Y=POINT,qnrE1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	SAMN07283712	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Typhimurium	GCA_002260565.1			sinH=HMM	2015	asr=HMM,golS=COMPLETE,golT=PARTIAL,merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=PARTIAL,qacEdelta1=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE	Daniel F. M. Monte	3.8.4	2020-06-11.1	COMBINED	PRJNA392118	25.2521 S 52.0215 W	54045	192	5063407						28901		Contig	aac(3)-IIe=COMPLETE,aadA1=COMPLETE,blaTEM=COMPLETE,gyrA_S83Y=POINT,mdsA=COMPLETE,mdsB=COMPLETE,qnrE1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	Velvet v. 1.2.10			90371	NNAR	NNAR00000000.1
Salmonella enterica	STy019	Heidelberg	PDT000235648.1	2017-08-21T17:07:56Z	Brazil	slaughterhouse	environmental/other				poultry	blaCMY-2=COMPLETE,fosA7=COMPLETE,gyrA_S83F=POINT,sul2=COMPLETE,tet(A)=COMPLETE	SAMN07279158	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Heidelberg	GCA_002260805.1			sinH=HMM	2016	arsR=COMPLETE,asr=HMM,golS=COMPLETE,golT=COMPLETE,merA=HMM,merP=HMM,merR=COMPLETE	Daniel F. M. Monte	3.8.4	2020-06-11.1	COMBINED	PRJNA391956	23.5505 S 46.6333 W	133154	94	4919409						28901		Contig	blaCMY-2=COMPLETE,fosA7=COMPLETE,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	Velvet v. 1.2.10			611	NNAU	NNAU00000000.1
Salmonella enterica	STy06	Typhimurium	PDT000235650.1	2017-08-21T18:02:16Z	Brazil	slaughterhouse	environmental/other				poultry	aac(3)-IIe=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,dfrA1=COMPLETE,floR=COMPLETE,gyrA_S83Y=POINT,qnrE1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	SAMN07279711	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Typhimurium	GCA_002260985.1			sinH=HMM	2015	asr=HMM,golS=COMPLETE,golT=COMPLETE,merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=PARTIAL,qacEdelta1=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE	Daniel F. M. Monte	3.8.4	2020-06-11.1	COMBINED	PRJNA391979	25.2521 S 52.0215 W	67413	161	4980919						28901		Contig	aac(3)-IIe=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,dfrA1=COMPLETE,floR=COMPLETE,gyrA_S83Y=POINT,mdsA=COMPLETE,mdsB=PARTIAL_END_OF_CONTIG,qnrE1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	Velvet v. 1.2.10			90371	NNAX	NNAX00000000.1
Salmonella enterica	SE36N	Typhimurium	PDT000236022.1	2017-08-22T23:03:12Z	USA: West Virginia		environmental/other				chicken	blaCMY=COMPLETE	SAMN07421232	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Typhimurium	GCA_002265805.1			iucA=COMPLETE,iutA=COMPLETE,sinH=HMM	2000	asr=HMM,golS=COMPLETE,golT=COMPLETE	FDA	3.6.7	2020-03-20.1	COMBINED	PRJNA312617	38.2 N 81.38 W	126614	158	5184874						28901		Contig	blaCMY=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	CLC NGS Cell v. SEPTEMBER-2016			90371	NPER	NPER00000000.1
Salmonella enterica	CFSAN031834	Haifa	PDT000273903.2	2017-12-22T00:41:23Z	Ethiopia:Central Eth.	Feces (poultry)	environmental/other				Poultry	dfrA5=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,tet(A)=COMPLETE,tet(A)=PARTIAL_END_OF_CONTIG	SAMN03577367	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Haifa	GCA_010486055.1			sinH=HMM	2013-12-17	asr=HMM,golS=COMPLETE,golT=COMPLETE,merE=COMPLETE,qacEdelta1=COMPLETE	Addis Ababa Univ.	3.6.7	2020-01-22.1	COMBINED	PRJNA275961		222757	67	4747433	PAIRED	ILLUMINA	SRR6410953	CFSAN	2017-12-22T00:26:12Z	28901		Contig	dfrA5=COMPLETE,gyrA_S83Y=POINT,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE,tet(A)=PARTIAL_END_OF_CONTIG	SKESA v. 2.2			192956	AANWVY	AANWVY000000000.1
Salmonella enterica	MYHL	Indiana	PDT000283174.1	2018-01-25T23:04:34Z	China	poultry slaughterhouse	environmental/other				poultry	aac(3)-IVa=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,aadA2=PARTIAL,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,arr-3=COMPLETE,blaCMY-2=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,bleO=COMPLETE,catA1=COMPLETE,catB3=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,floR=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,oqxA=COMPLETE,oqxB=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	SAMN03287656	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Indiana	GCA_002900055.1			astA=COMPLETE,sinH=HMM	2008-06-20	golS=COMPLETE,golT=COMPLETE,merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=HMM,merR=COMPLETE,merT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,qacE=PARTIAL,qacE=PARTIAL_END_OF_CONTIG,qacL=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=PARTIAL_END_OF_CONTIG,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE		3.8.4	2020-07-16.2	COMBINED	PRJNA273784		9600	640	5278784						28901		Scaffold	aac(3)-IVa=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA1=PARTIAL_END_OF_CONTIG,aadA2=COMPLETE,aadA2=PARTIAL,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(4)-Ia=COMPLETE,aph(6)-Id=COMPLETE,arr-3=COMPLETE,blaCMY-2=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,bleO=COMPLETE,catA1=COMPLETE,catB3=COMPLETE,cmlA1=COMPLETE,dfrA12=COMPLETE,floR=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,oqxA=COMPLETE,oqxB=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE	SOAPdenovo v. oct-2014			286783	JZCQ	JZCQ00000000.1
Salmonella enterica		Derby	PDT000289868.1	2018-02-26T22:08:35Z	France: Britany	carcass	environmental/other				Gallus gallus		SAMN08470240	PDG000000002.2044	Salmonella enterica subsp. enterica serovar Derby	GCA_002946375.1				2014-04-24	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE		3.6.7	2020-01-06.1	COMBINED	PRJNA391404	48.4365 N 2.3538 W	4846817	1	4846817						28901		Complete Genome	mdsA=COMPLETE,mdsB=COMPLETE	SMRT analysis v. 2.3.0			28144		
Salmonella enterica	NGUA-9_S9		PDT000111020.1	2016-02-24T15:26:58Z	Nigeria		environmental/other				Gallus gallus		SAMD00043386	PDG000000002.2044	Salmonella enterica	GCA_001569705.1			sinH=HMM	2014-09-12	asr=HMM,golS=COMPLETE,golT=COMPLETE		3.6.7	2020-01-22.1	COMBINED	PRJDB4308		367628	137	4828175						28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SPAdes v. 3.5.0			28901	BCOH	BCOH00000000.1
Salmonella enterica	NGUA-13_S1		PDT000111024.1	2016-02-24T15:29:13Z	Nigeria		environmental/other				Gallus gallus	blaTEM=PARTIAL,floR=COMPLETE,qnrS1=COMPLETE,tet(A)=COMPLETE	SAMD00043349	PDG000000002.2044	Salmonella enterica	GCA_001569785.1			sinH=HMM	2014-09-12	asr=HMM,golS=COMPLETE,golT=COMPLETE		3.6.7	2020-01-22.1	COMBINED	PRJDB4308		153522	127	4872659						28901		Contig	blaTEM=PARTIAL,floR=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,qnrS1=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.5.0			28901	BCOL	BCOL00000000.1
Salmonella enterica	NGUA-14_S2		PDT000111025.1	2016-02-24T15:29:40Z	Nigeria		environmental/other				Gallus gallus		SAMD00043350	PDG000000002.2044	Salmonella enterica	GCA_001569805.1			sinH=HMM	2014-09-12	asr=HMM,golS=COMPLETE,golT=COMPLETE		3.6.7	2020-01-22.1	COMBINED	PRJDB4308		255681	98	4536192						28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SPAdes v. 3.5.0			28901	BCOM	BCOM00000000.1
Salmonella enterica	NGUA-15_S3		PDT000111026.1	2016-02-24T15:30:32Z	Nigeria		environmental/other				Gallus gallus	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,bla=HMM,fosA7.6=COMPLETE,qnrS1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	SAMD00043351	PDG000000002.2044	Salmonella enterica	GCA_001569825.1				2014-09-12	asr=HMM,golS=COMPLETE,golT=COMPLETE		3.6.7	2020-01-22.1	COMBINED	PRJDB4308		17553	1209	5313065						28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,bla=HMM,fosA7.6=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,qnrS1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.5.0			28901	BCON	BCON00000000.1
Salmonella enterica	NGUA-16_S4		PDT000111027.1	2016-02-24T15:31:02Z	Nigeria		environmental/other				Gallus gallus	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM=PARTIAL,floR=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,parC_S80I=POINT,qnrS1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	SAMD00043352	PDG000000002.2044	Salmonella enterica	GCA_001569845.1			sinH=HMM	2014-09-12	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,merA=COMPLETE,merC=COMPLETE,merD=COMPLETE,merE=COMPLETE,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,qacEdelta1=COMPLETE		3.6.7	2020-01-22.1	COMBINED	PRJDB4308		599517	132	4970350						28901		Contig	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM=PARTIAL,floR=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,qnrS1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.5.0			28901	BCOO	BCOO00000000.1
Salmonella enterica	NGUA-17_S5		PDT000111028.1	2016-02-24T15:31:30Z	Nigeria		environmental/other				Gallus gallus		SAMD00043353	PDG000000002.2044	Salmonella enterica	GCA_001569865.1			sinH=HMM	2014-09-12	asr=HMM,golS=COMPLETE,golT=COMPLETE		3.6.7	2020-01-22.1	COMBINED	PRJDB4308		200637	128	4687717						28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SPAdes v. 3.5.0			28901	BCOP	BCOP00000000.1
Salmonella enterica	NGUA-18_S6		PDT000111029.1	2016-02-24T15:32:09Z	Nigeria		environmental/other				Gallus gallus	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	SAMD00043354	PDG000000002.2044	Salmonella enterica	GCA_001569885.1			sinH=HMM	2014-09-12	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,merA=COMPLETE,merC=COMPLETE,merD=COMPLETE,merE=COMPLETE,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,qacEdelta1=COMPLETE		3.6.7	2020-01-22.1	COMBINED	PRJDB4308		375362	585	5259276						28901		Contig	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.5.0			28901	BCOQ	BCOQ00000000.1
Salmonella enterica	NGUA-19_S7		PDT000111030.1	2016-02-24T15:32:37Z	Nigeria		environmental/other				Gallus gallus		SAMD00043355	PDG000000002.2044	Salmonella enterica	GCA_001569905.1			sinH=HMM	2014-09-12	asr=HMM,golS=COMPLETE,golT=COMPLETE		3.6.7	2020-01-22.1	COMBINED	PRJDB4308		169222	109	4721675						28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SPAdes v. 3.5.0			28901	BCOR	BCOR00000000.1
Salmonella enterica	NGUA-20_S8		PDT000111031.1	2016-02-24T15:33:08Z	Nigeria		environmental/other				Gallus gallus	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	SAMD00043357	PDG000000002.2044	Salmonella enterica	GCA_001569925.1			sinH=HMM	2014-09-12	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,merA=COMPLETE,merC=COMPLETE,merD=COMPLETE,merE=COMPLETE,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,qacEdelta1=COMPLETE		3.6.7	2020-01-22.1	COMBINED	PRJDB4308		188685	183	4871939						28901		Contig	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	SPAdes v. 3.5.0			28901	BCOS	BCOS00000000.1
