#Organism Group	Strain	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	Host	SNP cluster	Min-same	Min-diff	AMR genotypes core	BioSample	K-mer group	Scientific name	Assembly	AST phenotypes	Host Disease	Virulence genotypes	Collection Date	Stress genotypes	Collected by	AMRFinderPlus version	PD Ref Gene Catalog version	AMRFinderPlus analysis type	BioProject	Lat/Lon	N50	Contigs	Length	Library Layout	Platform	Run	SRA Center	SRA Release Date	Species TaxID	Outbreak	Level	AMR genotypes	Method	PFGE Primary Enzyme Pattern	PFGE Secondary Enzyme Pattern	TaxID	WGS Prefix	WGS Accession
Salmonella enterica	FSIS11807611	Schwarzengrund	PDT000287527.2	2018-02-16T04:51:33Z	USA:MS	chicken carcass	environmental/other						SAMN08554053	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Schwarzengrund	GCA_010882275.1			sinH=HMM	2018	arsC=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=PARTIAL_END_OF_CONTIG,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=PARTIAL_END_OF_CONTIG,silA=PARTIAL_END_OF_CONTIG,silC=PARTIAL_END_OF_CONTIG,silE=COMPLETE,silF=COMPLETE,silR=PARTIAL_END_OF_CONTIG,silS=PARTIAL_END_OF_CONTIG	USDA-FSIS	3.6.7	2020-01-22.1	COMBINED	PRJNA242847		188242	66	4745260	PAIRED	ILLUMINA	SRR6740105	USDA-FSIS	2018-02-16T02:24:12Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			340190	AAOWHW	AAOWHW000000000.1
Salmonella enterica	FSIS11815154	Anatum	PDT000399350.1	2018-10-30T20:44:07Z	USA:MS	Product-Raw-Intact-Siluriformes, Ictaluridae (Catfish)	environmental/other						SAMN10346525	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Anatum	GCA_003750105.1				2018	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		249700	46	4784957	PAIRED	ILLUMINA	SRR8136680	USDA-FSIS	2018-10-30T19:55:10Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			58712	RLZS	RLZS00000000.1
Salmonella enterica	FSIS1703210	Hartford	PDT000228451.2	2017-07-29T00:40:00Z	USA:MS	Product-Raw-Intact-Siluriformes, Ictaluridae (Catfish)	environmental/other						SAMN07424852	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Hartford	GCA_007033985.1				2017	asr=HMM,golS=COMPLETE,golT=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		197140	39	4779583	PAIRED	ILLUMINA	SRR5879440	USDA-FSIS	2017-07-28T22:14:11Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			568095	AAGXNL	AAGXNL000000000.1
Salmonella enterica	FSIS11814294	Kentucky	PDT000386240.1	2018-09-28T01:18:09Z	USA:MS	animal-chicken-young chicken	environmental/other						SAMN10139941	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_007318215.1				2018	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA292666		110935	94	4867449	PAIRED	ILLUMINA	SRR7911684	USDA-FSIS	2018-09-27T22:55:11Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			192955	AAHPXW	AAHPXW000000000.1
Salmonella enterica	FSIS21720012	Kentucky	PDT000235374.2	2017-08-23T03:24:46Z	USA:MS	raw intact chicken	environmental/other						SAMN07525923	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_009472505.1				2017	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		107143	87	4858719	PAIRED	ILLUMINA	SRR5955179	USDA-FSIS	2017-08-22T23:24:13Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			192955	AAMSPV	AAMSPV000000000.1
Salmonella enterica	FSIS1703712	Kentucky	PDT000236593.2	2017-08-26T21:39:48Z	USA:MS	raw intact chicken	environmental/other					aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(B)=COMPLETE	SAMN07563017	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_009499095.1			cvaC=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iutA=COMPLETE,mchF=COMPLETE	2017	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		126572	101	4978810	PAIRED	ILLUMINA	SRR5980277	USDA-FSIS	2017-08-26T20:44:02Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,tet(B)=COMPLETE	SKESA v. 2.2			192955	AAMTOJ	AAMTOJ000000000.1
Salmonella enterica	FSIS11704453	Kentucky	PDT000245672.2	2017-09-28T18:40:43Z	USA:MS	raw intact chicken	environmental/other						SAMN07714855	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_009508295.1				2017	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		145072	85	4833138	PAIRED	ILLUMINA	SRR6113341	USDA-FSIS	2017-09-28T15:31:12Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			192955	AAMUFW	AAMUFW000000000.1
Salmonella enterica	FSIS11705278	4,[5],12:i:-	PDT000282587.3	2018-01-30T17:50:32Z	USA:MS	NRTE (Not-Ready-to-Eat) Comminuted Poultry Exploratory Sampling - Chickens	environmental/other						SAMN08387038	PDG000000002.2057	Salmonella enterica subsp. enterica serovar 4,[5],12:i:-	GCA_010526695.1			sinH=HMM	2014	asr=HMM,golS=COMPLETE,golT=COMPLETE	USDA-FSIS	3.6.7	2020-01-22.1	COMBINED	PRJNA242847		50860	172	4854220	PAIRED	ILLUMINA	SRR6635806	CFSAN	2018-01-30T16:49:14Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			440524	AANZOF	AANZOF000000000.1
Salmonella enterica	FSIS11810978	Kentucky	PDT000336226.1	2018-06-25T22:04:06Z	USA:MS	raw intact chicken	environmental/other					aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE	SAMN09479642	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_008448285.1			iutA=COMPLETE	2018	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		62868	205	4962117	PAIRED	ILLUMINA	SRR7426252	USDA-FSIS	2018-06-25T20:08:43Z	28901		Contig	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=PARTIAL_END_OF_CONTIG	SKESA v. 2.2			192955	AAKLMU	AAKLMU000000000.1
Salmonella enterica	FSIS11813219	Bareilly	PDT000365650.1	2018-08-21T20:35:06Z	USA:MS	comminuted chicken	environmental/other					sul2=PARTIAL	SAMN09866491	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Bareilly	GCA_008459165.1				2018	arsC=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		89285	99	4771756	PAIRED	ILLUMINA	SRR7724395	USDA-FSIS	2018-08-20T22:40:11Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE,sul2=PARTIAL	SKESA v. 2.2			58096	AAKMJD	AAKMJD000000000.1
Salmonella enterica	FSIS11813422	Typhimurium	PDT000372352.1	2018-09-05T23:07:11Z	USA:MS	animal-chicken-young chicken	environmental/other						SAMN09980153	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Typhimurium	GCA_008462805.1				2018	arsA=COMPLETE,arsB=COMPLETE,arsC=COMPLETE,arsD=COMPLETE,asr=HMM,golS=COMPLETE,golT=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA292666		51975	152	4900850	PAIRED	ILLUMINA	SRR7789477	USDA-FSIS	2018-09-05T21:31:30Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			90371	AAKMNH	AAKMNH000000000.1
Salmonella enterica	FSIS21924258		PDT000499214.1	2019-05-08T13:53:21Z	USA:MS	raw intact chicken	environmental/other						SAMN11603843	PDG000000002.2057	Salmonella enterica subsp. enterica	GCA_005755575.1				2019	arsC=COMPLETE,arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		92684	114	4989545	PAIRED	ILLUMINA	SRR9028498	USDA-FSIS	2019-05-08T13:09:13Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			59201	AADTCP	AADTCP000000000.1
Salmonella enterica	FSIS11921384		PDT000517950.1	2019-06-05T01:54:12Z	USA:MS	Product-Raw-Intact-Siluriformes, Ictaluridae (Catfish)	environmental/other					aadA1=COMPLETE,dfrA1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	SAMN11958787	PDG000000002.2057	Salmonella enterica subsp. enterica	GCA_006218265.1				2019	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,qacEdelta1=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		139497	92	4822484	PAIRED	ILLUMINA	SRR9201974	USDA-FSIS	2019-06-05T01:15:11Z	28901		Contig	aadA1=COMPLETE,dfrA1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	SKESA v. 2.2			59201	AAEXLO	AAEXLO000000000.1
Salmonella enterica	FSIS11919878	Kentucky	PDT000487557.2	2019-04-09T09:01:57Z	USA:MS	animal-chicken-young chicken	environmental/other						SAMN11360871	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Kentucky	GCA_006749545.1				2019	arsD=HMM,asr=HMM,golS=COMPLETE,golT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA292666		106781	90	4822685	PAIRED	ILLUMINA	SRR8867611	USDA-FSIS	2019-04-09T08:49:43Z	28901		Contig	mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			192955	AAGEAR	AAGEAR000000000.1
Salmonella enterica	FSIS32003173	Typhimurium	PDT000671573.1	2020-01-28T01:11:45Z	USA:MS	Product-Raw-Intact-Siluriformes, Ictaluridae (Catfish)	environmental/other						SAMN13930226	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Typhimurium	GCA_011204115.1			sinH=HMM	2020	asr=HMM,golS=COMPLETE,golT=COMPLETE	USDA-FSIS	3.6.7	2020-01-22.1	COMBINED	PRJNA242847		88510	111	4837499	PAIRED	ILLUMINA	SRR10972449	USDA-FSIS	2020-01-28T00:03:14Z	28901		Contig	mdsA=COMPLETE,mdsB=MISTRANSLATION	SKESA v. 2.2			90371	AAPOBJ	AAPOBJ000000000.1
Salmonella enterica	FSIS1400278	Heidelberg	PDT000041579.2	2014-10-31T20:07:00Z	USA:MS	Comminuted poultry	environmental/other		PDS000029703.315	4	4	fosA7=COMPLETE	SAMN03154418	PDG000000002.2057	Salmonella enterica subsp. enterica serovar Heidelberg	GCA_006853265.1				2013	arsR=COMPLETE,asr=HMM,golS=COMPLETE,golT=COMPLETE	USDA-FSIS	3.6.7	2020-01-06.1	COMBINED	PRJNA242847		56822	149	4682783	PAIRED	ILLUMINA	SRR1636682	FSIS SRCAMB	2014-10-31T19:17:12Z	28901		Contig	fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2	JF6X01.0051		611	AAGKXY	AAGKXY000000000.1
Salmonella enterica	OSF028608		PDT000049758.2	2015-02-19T19:09:06Z	USA:MS	chicken	environmental/other		PDS000029703.315	1	7	fosA7=COMPLETE	SAMN03282116	PDG000000002.2057	Salmonella enterica	GCA_006865785.1				2014-03-26	arsR=COMPLETE,asr=HMM,golS=COMPLETE,golT=COMPLETE	OSF	3.6.7	2020-01-06.1	COMBINED	PRJNA186035		203629	41	4746987	PAIRED	ILLUMINA	SRR1810553	CFSAN	2015-02-18T21:48:15Z	28901		Contig	fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			28901	AAGLRX	AAGLRX000000000.1
Salmonella enterica	OSF028652		PDT000050165.2	2015-02-23T16:08:21Z	USA:MS	chicken	environmental/other		PDS000029703.315	2	2	fosA7=COMPLETE	SAMN03282160	PDG000000002.2057	Salmonella enterica	GCA_006086715.1				2014-03-31	arsR=COMPLETE,asr=HMM,golS=COMPLETE,golT=COMPLETE	OSF	3.6.7	2020-01-06.1	COMBINED	PRJNA186035		107498	80	4746459	PAIRED	ILLUMINA	SRR1813452	CFSAN	2015-02-23T15:29:18Z	28901		Contig	fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	SKESA v. 2.2			28901	AAENZS	AAENZS000000000.1
Salmonella enterica	OSF029770		PDT000051469.2	2015-03-15T15:08:43Z	USA:MS	chicken	environmental/other		PDS000029703.315	3	20	aac(3)-VIa=COMPLETE,aadA1=COMPLETE,fosA7=COMPLETE,sul1=COMPLETE	SAMN03360949	PDG000000002.2057	Salmonella enterica	GCA_006867525.1				2014-04-09	arsR=COMPLETE,asr=HMM,golS=COMPLETE,golT=COMPLETE,qacEdelta1=COMPLETE	OSF	3.6.7	2020-01-06.1	COMBINED	PRJNA186035		95058	101	4865121	PAIRED	ILLUMINA	SRR1916125	CFSAN	2015-03-15T14:24:12Z	28901		Contig	aac(3)-VIa=COMPLETE,aadA1=COMPLETE,fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE	SKESA v. 2.2			28901	AAGLWH	AAGLWH000000000.1
